2018-04-26 19:07:29 startup archives install
2018-04-26 19:07:29 install base-passwd:amd64 <none> 3.5.44
2018-04-26 19:07:29 status half-installed base-passwd:amd64 3.5.44
2018-04-26 19:07:29 status unpacked base-passwd:amd64 3.5.44
2018-04-26 19:07:29 status unpacked base-passwd:amd64 3.5.44
2018-04-26 19:07:29 configure base-passwd:amd64 3.5.44 3.5.44
2018-04-26 19:07:29 status unpacked base-passwd:amd64 3.5.44
2018-04-26 19:07:29 status half-configured base-passwd:amd64 3.5.44
2018-04-26 19:07:29 status installed base-passwd:amd64 3.5.44
2018-04-26 19:07:29 startup archives install
2018-04-26 19:07:29 install base-files:amd64 <none> 10.1ubuntu2
2018-04-26 19:07:29 status half-installed base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 configure base-files:amd64 10.1ubuntu2 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status half-configured base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 status installed base-files:amd64 10.1ubuntu2
2018-04-26 19:07:29 startup archives install
2018-04-26 19:07:29 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-04-26 19:07:29 status half-configured dpkg 1.19.0.5ubuntu2
2018-04-26 19:07:29 status unpacked dpkg 1.19.0.5ubuntu2
2018-04-26 19:07:29 status half-installed dpkg 1.19.0.5ubuntu2
2018-04-26 19:07:29 status half-installed dpkg 1.19.0.5ubuntu2
2018-04-26 19:07:29 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 19:07:30 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 19:07:30 configure dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-04-26 19:07:30 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 19:07:30 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 19:07:30 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 19:07:30 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 19:07:30 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 19:07:30 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 19:07:30 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 19:07:30 status installed dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 19:07:30 startup archives install
2018-04-26 19:07:30 install libc6:amd64 <none> 2.27-3ubuntu1
2018-04-26 19:07:30 status half-installed libc6:amd64 2.27-3ubuntu1
2018-04-26 19:07:30 status unpacked libc6:amd64 2.27-3ubuntu1
2018-04-26 19:07:30 status unpacked libc6:amd64 2.27-3ubuntu1
2018-04-26 19:07:30 configure libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2018-04-26 19:07:30 status unpacked libc6:amd64 2.27-3ubuntu1
2018-04-26 19:07:30 status unpacked libc6:amd64 2.27-3ubuntu1
2018-04-26 19:07:30 status half-configured libc6:amd64 2.27-3ubuntu1
2018-04-26 19:07:30 status installed libc6:amd64 2.27-3ubuntu1
2018-04-26 19:07:30 startup archives install
2018-04-26 19:07:30 install perl-base:amd64 <none> 5.26.1-6
2018-04-26 19:07:30 status half-installed perl-base:amd64 5.26.1-6
2018-04-26 19:07:30 status unpacked perl-base:amd64 5.26.1-6
2018-04-26 19:07:31 status unpacked perl-base:amd64 5.26.1-6
2018-04-26 19:07:31 configure perl-base:amd64 5.26.1-6 5.26.1-6
2018-04-26 19:07:31 status unpacked perl-base:amd64 5.26.1-6
2018-04-26 19:07:31 status half-configured perl-base:amd64 5.26.1-6
2018-04-26 19:07:31 status installed perl-base:amd64 5.26.1-6
2018-04-26 19:07:31 startup archives install
2018-04-26 19:07:31 install mawk:amd64 <none> 1.3.3-17ubuntu3
2018-04-26 19:07:31 status half-installed mawk:amd64 1.3.3-17ubuntu3
2018-04-26 19:07:31 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-04-26 19:07:31 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-04-26 19:07:31 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2018-04-26 19:07:31 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-04-26 19:07:31 status half-configured mawk:amd64 1.3.3-17ubuntu3
2018-04-26 19:07:31 status installed mawk:amd64 1.3.3-17ubuntu3
2018-04-26 19:07:31 startup archives install
2018-04-26 19:07:31 install debconf:all <none> 1.5.66
2018-04-26 19:07:31 status half-installed debconf:all 1.5.66
2018-04-26 19:07:31 status unpacked debconf:all 1.5.66
2018-04-26 19:07:31 status unpacked debconf:all 1.5.66
2018-04-26 19:07:31 configure debconf:all 1.5.66 1.5.66
2018-04-26 19:07:31 status unpacked debconf:all 1.5.66
2018-04-26 19:07:31 status unpacked debconf:all 1.5.66
2018-04-26 19:07:31 status unpacked debconf:all 1.5.66
2018-04-26 19:07:31 status half-configured debconf:all 1.5.66
2018-04-26 19:07:31 status installed debconf:all 1.5.66
2018-04-26 19:07:31 startup archives unpack
2018-04-26 19:07:31 upgrade base-files:amd64 10.1ubuntu2 10.1ubuntu2
